광산명,광종,시도,시군구,읍면동,리
(가)보문,석탄,대전,동구,낭월동,
(가)삼청,석탄,대전,동구,삼괴동,
덕명,비금속,대전,유성구,구암동,
평촌,금속,대전,대덕구,신탄진동,
보원,비금속,충북,괴산군,감물면,광전리
안민동,금속,충북,괴산군,감물면,광전리
인창,비금속,충북,괴산군,감물면,구월리
심불,비금속,충북,괴산군,감물면,매전리
증자동,금속,충북,괴산군,감물면,매전리
서일,비금속,충북,괴산군,괴산읍,검승리
우진,금속,충북,괴산군,괴산읍,능촌리
(가)신항,금속,충북,괴산군,괴산읍,신항리
광덕,비금속,충북,괴산군,문광면,광덕리
삼탄-삼덕,석탄,강원,정선군,고한읍,고한리
문광규석,비금속,충북,괴산군,문광면,신기리
옥성,석탄,충북,괴산군,문광면,옥성리
만정,금속,충북,괴산군,불정면,삼방리
삼신,금속,충북,괴산군,불정면,삼방리
어래,금속,충북,괴산군,불정면,삼방리
(가)신흥리,금속,충북,괴산군,불정면,신흥리
웅동,비금속,충북,괴산군,불정면,웅동리
(가)웅동리,비금속,충북,괴산군,불정면,웅동리
괴산철,금속,충북,괴산군,불정면,삼방리
건일,금속,충북,괴산군,불정면,창산리
대일규석,비금속,충북,괴산군,불정면,창산리
보영,금속,충북,괴산군,불정면,창산리
범진,금속,충북,괴산군,사리면,수암리
창금,금속,충북,괴산군,사리면,이곡리
창금산,금속,충북,괴산군,사리면,이곡리
철수,금속,충북,괴산군,사리면,이곡리
소암,금속,충북,괴산군,사리면,사담리
괴산고령토,비금속,충북,괴산군,소수면,소암리
소암,금속,충북,괴산군,소수면,소암리
연풍장석,비금속,충북,괴산군,연풍면,갈금리
대불,비금속,충북,괴산군,연풍면,원풍리
대불(109),비금속,충북,괴산군,연풍면,원풍리
수풍,비금속,충북,괴산군,연풍면,원풍리
(가)신풍리,비금속,충북,괴산군,연풍면,원풍리
연풍도양(조령),금속,충북,괴산군,연풍면,원풍리
원풍,금속,충북,괴산군,연풍면,원풍리
풍령,비금속,충북,괴산군,연풍면,원풍리
"만장(004만장,005만장)",금속,충북,괴산군,연풍면,유상리
유봉,비금속,충북,괴산군,연풍면,유하리
(가)삼우,비금속,충북,괴산군,연풍면,유하리
입석,금속,충북,괴산군,연풍면,적석리
입석,금속,충북,괴산군,연풍면,적석리
입석,비금속,충북,괴산군,연풍면,적석리
금강석회,비금속,충북,괴산군,연풍면,주진리
연풍장석,비금속,충북,괴산군,연풍면,주진리
천보,금속,충북,괴산군,연풍면,행촌리
(가)행촌리,비금속,충북,괴산군,연풍면,행촌리
만정,금속,충북,괴산군,장연면,송덕리
삼원,금속,충북,괴산군,장연면,오가리
장풍,금속,충북,괴산군,장연면,오가리
삼조광업,비금속,충북,괴산군,장연면,추점리
성보(옥진),금속,충북,괴산군,청안면,문방리
신흥석회,비금속,충북,괴산군,청안면,부흥리
수정광산,금속,충북,괴산군,사리면,수암리
금화,금속,충북,괴산군,청안면,장암리
장암,금속,충북,괴산군,청안면,장암리
장암석회석,비금속,충북,괴산군,청안면,장암리
조천광산,금속,충북,괴산군,청안면,조천리
(가)조천리,금속,충북,괴산군,청안면,조천리
황암,금속,충북,괴산군,청안면,조천리
입장,금속,충북,괴산군,청안면,금신리
청안(칠보),금속,충북,괴산군,청안면,효근리
고촌,금속,충북,괴산군,청안면,효근리
청천,금속,충북,괴산군,청천면,고성리
조봉,금속,충북,괴산군,청천면,귀만리
청천,비금속,충북,괴산군,청천면,귀만리
(가)덕평리,금속,충북,괴산군,청천면,덕평리
동성,석탄,충북,괴산군,청천면,덕평리
청천,금속,충북,괴산군,청천면,무릉리
부흥,비금속,충북,괴산군,청천면,삼락리
대원,금속,충북,괴산군,청천면,삼송리
오성실업,비금속,충북,괴산군,청천면,삼송리
"천년,천대",금속,충북,괴산군,청천면,삼송리
청천,금속,충북,괴산군,청천면,신월리
태응,금속,충북,괴산군,청천면,운교리
청천,금속,충북,괴산군,청천면,후평리
칠성,비금속,충북,괴산군,칠성면,비도리
삼혁규석,비금속,충북,괴산군,칠성면,송동리
칠성,금속,충북,괴산군,칠성면,외사리
(가)지곡,금속,충북,괴산군,칠성면,율지리
칠보,금속,충북,괴산군,칠성면,율지리
영춘납석,비금속,충북,단양군,가곡면,가대리
(가)가곡,금속,충북,단양군,가곡면,대대리
단양보천,금속,충북,단양군,가곡면,대대리
향남,금속,충북,단양군,가곡면,대대리
대덕(269),석탄,충북,단양군,가곡면,대대리
삼일,석탄,충북,단양군,가곡면,대대리
보발석회,비금속,충북,단양군,가곡면,보발리
대성보성,석탄,충북,단양군,가곡면,보발리
보성,석탄,충북,단양군,가곡면,보발리
보은흥일,석탄,충북,단양군,가곡면,보발리
은곡(130),금속,충북,단양군,가곡면,사평리
여천,비금속,충북,단양군,가곡면,여천리
백광여천,비금속,충북,단양군,가곡면,여천리
대현납석,비금속,충북,단양군,가곡면,보발리
영성활석(464흥국),비금속,충북,옥천군,이원면,지탄리
봉양규석,비금속,충북,단양군,단성면,가산리
대강,비금속,충북,단양군,단성면,가산리
사봉,비금속,충북,단양군,단성면,고평리
(가)대잠리,금속,충북,단양군,단성면,대잠리
두항활석,비금속,충북,단양군,단성면,두항리
(가)양당,비금속,충북,단양군,단성면,양당리
(가)양당아연,금속,충북,단양군,단성면,양당리
구미형석,비금속,충북,단양군,단성면,외중방리
대덕(115),금속,충북,단양군,단성면,장회리
제2구성,비금속,충북,단양군,단성면,장회리
덕운,비금속,충북,단양군,단성면,중방리
태백,비금속,충북,단양군,단성면,중방리
봉양,석탄,충북,단양군,단성면,회산리
유양,금속,충북,단양군,단성면,회산리
연천,금속,충북,단양군,단양읍,금곡리
대성창원,석탄,충북,단양군,단양읍,노동리
백광석회석,비금속,충북,단양군,단양읍,노동리
한일석회,비금속,충북,단양군,단양읍,노동리
대강,비금속,충북,단양군,단양읍,덕상리
단양(234),석탄,충북,단양군,단양읍,덕상리
단양덕상,석탄,충북,단양군,단양읍,덕상리
단양석회,비금속,충북,단양군,단양읍,현천리
충남신광석회,비금속,충북,단양군,단양읍,상진리
장자,비금속,충북,단양군,단양읍,심곡리
거도,비금속,충북,단양군,단양읍,천동리
덕상,비금속,충북,단양군,단양읍,현천리
용암,금속,충남,서산시,고북면,용암리
연봉,금속,충북,단양군,대강면,괴평리
대성,비금속,충북,단양군,대강면,두음리
양명,금속,충남,부여군,임천면,구교리
미선(222),비금속,충북,단양군,대강면,두음리
가은,금속,충북,단양군,적성면,상리
성경,비금속,충북,단양군,대강면,두음리
신화,비금속,충북,단양군,대강면,두음리
미노,비금속,충북,단양군,대강면,미노리
소백,비금속,충북,단양군,대강면,올산리
(가)올산리,비금속,충북,단양군,대강면,올산리
대강규석,비금속,충북,단양군,대강면,황정리
문강,금속,충북,단양군,대강면,직티리
천은,비금속,충북,단양군,매포읍,고양리
신광,비금속,충북,단양군,매포읍,매포리
삼곡,금속,충북,단양군,매포읍,삼곡리
청림,비금속,충북,단양군,매포읍,고양리
한일,비금속,충북,단양군,매포읍,상괴리
삼곡,금속,충북,단양군,매포읍,영천리
한흥실업미원석회,비금속,충북,단양군,매포읍,영천리
도담,비금속,충북,단양군,매포읍,매포리
청양,금속,충남,청양군,장평면,지천리
부국석회,비금속,충북,단양군,어상천면,대전리
석교석회,비금속,충북,단양군,어상천면,석교리
석교석회,비금속,충북,단양군,어상천면,석교리
태창,비금속,충북,단양군,어상천면,연곡리
태창석회,비금속,충북,단양군,어상천면,연곡리
어상천2,금속,충북,단양군,어상천면,임현리
어상천1,금속,충북,단양군,어상천면,임현리
영춘규석,비금속,충북,단양군,영춘면,남천리
대동,비금속,충북,단양군,영춘면,동대리
대창,비금속,충북,단양군,영춘면,동대리
선우단양,비금속,충북,단양군,영춘면,동대리
동대석회,비금속,충북,단양군,영춘면,동대리
옥풍,금속,충북,단양군,영춘면,동대리
제일동대,비금속,충북,단양군,영춘면,동대리
송전,비금속,충북,단양군,영춘면,만종리
세영벤토나이트,비금속,충북,단양군,영춘면,사이곡리
영춘제2석회,비금속,충북,단양군,영춘면,사이곡리
국일,비금속,충북,단양군,영춘면,사지원리
영춘(197),비금속,충북,단양군,영춘면,사지원리
장선,석탄,충북,단양군,영춘면,사지원리
대현납석,비금속,충북,단양군,영춘면,상리
영춘(241),석탄,충북,단양군,영춘면,상리
영춘혜주,석탄,충북,단양군,영춘면,상리
태남,석탄,충북,단양군,영춘면,상리
오사리,비금속,충북,단양군,영춘면,오사리
보림,비금속,충북,단양군,적성면,각기리
(가)기동리,비금속,충북,단양군,적성면,기동리
가은,석탄,경북,문경시,가은읍,왕능리
양지,금속,충남,보령시,청소면,정전리
단양철,금속,충북,단양군,적성면,상리
앙성고령토,비금속,충북,단양군,적성면,파랑리
경일,비금속,충북,단양군,적성면,하리
백석,비금속,충북,단양군,적성면,하리
적성,비금속,충북,단양군,적성면,하리
적성석회,비금속,충북,단양군,적성면,하리
원곡석회석,비금속,충북,단양군,적성면,하원곡리
유진 (상곡광산 인접 동시사업 추진),금속,충북,단양군,적성면,하원곡리
단진,비금속,충북,단양군,적성면,하진리
대양운무,금속,충북,보은군,마로면,기대리
유정,금속,충북,보은군,마로면,기대리
청산,비금속,충북,보은군,마로면,원정리
단천1,비금속,충북,보은군,마로면,소여리
단천2,석탄,충북,보은군,마로면,소여리
옥보,비금속,충북,보은군,마로면,오천리
성하,석탄,충북,보은군,마로면,원정리
청산,석탄,충북,보은군,마로면,원정리
금흥,비금속,충북,보은군,마로면,임곡리
옥천,비금속,충북,옥천군,군북면,대정리
대원,비금속,충북,보은군,산외면,대원리
(가)익수,석탄,충북,보은군,산외면,대원리
(가)백석리,금속,충북,보은군,산외면,백석리
산대,석탄,충북,보은군,산외면,산대리
산외,금속,충북,보은군,산외면,탁주리
보은대일,금속,충북,보은군,회남면,분저리
대상,비금속,충북,보은군,회남면,은운리
보은,석탄,충북,보은군,회남면,조곡리
무극(492무주),금속,충북,음성군,금왕읍,용계리
신원,석탄,충북,보은군,회인면,갈티리
석숭,비금속,충북,보은군,회인면,건천리
성광,비금속,충북,보은군,회인면,건천리
기덕,비금속,충북,보은군,회인면,송평리
부국,석탄,충북,보은군,회인면,송평리
우일,석탄,충북,보은군,회인면,송평리
(가)내동,금속,충북,영동군,매곡면,노천리
노천리,금속,충북,영동군,매곡면,노천리
매곡,금속,충북,영동군,매곡면,옥전리
옥매,비금속,충북,영동군,매곡면,
옥전,금속,충북,영동군,매곡면,옥전리
욱일,비금속,충북,영동군,매곡면,옥전리
(가)곤덕리,금속,충북,영동군,매곡면,유전리
추령,금속,충북,영동군,매곡면,유전리
삼동(418삼동),금속,충북,영동군,상촌면,고자리
삼황학,금속,충북,영동군,상촌면,궁촌리
일생금,금속,충북,영동군,상촌면,대해리
복용,금속,충북,영동군,상촌면,돈대리
삼광수,금속,충북,영동군,상촌면,돈대리
영동임산,금속,충북,영동군,상촌면,돈대리
대원,금속,충북,영동군,상촌면,물한리
문원,금속,충북,영동군,상촌면,물한리
영보,금속,충북,영동군,상촌면,물한리
(가)충북,금속,충북,영동군,상촌면,대해리
대일,금속,충북,영동군,상촌면,유곡리
영보돈매,금속,충북,영동군,상촌면,임산리
우석,비금속,충북,영동군,상촌면,임산리
임산,금속,충북,영동군,상촌면,하도대리
창화,금속,충북,영동군,상촌면,하도대리
대동,금속,충북,영동군,상촌면,흥덕리
흥덕,비금속,충북,영동군,상촌면,흥덕리
흥덕(377흥덕),금속,충북,영동군,상촌면,흥덕리
심천,비금속,충북,영동군,심천면,금정리
금정,금속,충북,영동군,심천면,금정리
성원,석탄,충북,영동군,심천면,길현리
마곡,비금속,충북,영동군,심천면,마곡리
옥인,비금속,충북,영동군,심천면,마곡리
용당철,금속,충북,영동군,심천면,용당리
영동,금속,충북,영동군,심천면,초강리
삼성,비금속,충북,청주시 상당구,가덕면,청용리
한일규석,비금속,충북,영동군,양강면,산막리
대신,금속,충북,영동군,양강면,산막리
천일금산,금속,충북,영동군,양강면,산막리
"천흥,영우",금속,충북,영동군,양강면,산막리
선화,비금속,충북,영동군,양강면,유점리
(가)지촌금광,금속,충북,영동군,양강면,지촌리
고려산업,금속,충북,영동군,양산면,가선리
대천,비금속,충북,영동군,양산면,누교리
한척,금속,충북,영동군,양산면,송호리
영우,금속,충북,영동군,양산면,수두리
(가)당곡,금속,충북,영동군,영동읍,당곡리
산봉,금속,충북,영동군,영동읍,당곡리
(가)산이리,석탄,충북,영동군,영동읍,산이리
(가)당골,금속,충북,영동군,영동읍,당곡리
영동납석,비금속,충북,영동군,영동읍,산익리
(가)오리,금속,충북,영동군,영동읍,산익리
용궁,비금속,충북,영동군,영동읍,산익리
영동,비금속,충북,영동군,영동읍,오탄리
금포금모,금속,충북,영동군,영동읍,화신리
영동,비금속,충북,영동군,용산면,금곡리
한곡,금속,충북,영동군,용산면,금곡리
용산형석,비금속,충북,영동군,용산면,부릉리
다진영동(430부상),금속,충북,영동군,용산면,부상리
신망,금속,충북,영동군,용산면,시금리
심천석회석,비금속,충북,영동군,용산면,한석리
"영동(395영남,399형동형석)",비금속,충북,영동군,용산면,한곡리
박달,금속,충북,영동군,용산면,한석리
법화,금속,충북,영동군,용산면,한석리
백봉규석,비금속,충북,영동군,용화면,안정리
삼정(용화)(용화월전),금속,충북,영동군,용화면,용화리
용화,금속,충북,영동군,용화면,용화리
(가)용화철,금속,충북,영동군,용화면,용화리
창곡,금속,충북,영동군,용화면,용화리
삼창,금속,충북,영동군,용화면,월전리
(가)월전,금속,충북,영동군,용화면,월전리
삼영,비금속,충북,영동군,용화면,조동리
(가)계룡리,금속,충북,영동군,추풍령면,계룡리
"내보,보풍",금속,충북,영동군,추풍령면,계룡리
옥매제3,금속,충북,영동군,추풍령면,사부리
환이,금속,충북,영동군,추풍령면,사부리
황보,비금속,충북,영동군,추풍령면,사부리
(가)범하리,금속,충북,영동군,학산면,범화리
대선석회(382대선),비금속,충북,영동군,학산면,서산리
서산,금속,충북,영동군,학산면,서산리
영동석회석,비금속,충북,영동군,학산면,서산리
학산,금속,충북,영동군,학산면,서산리
대림,금속,충북,영동군,학산면,지내리
성주형석,비금속,충북,영동군,학산면,지내리
대보,비금속,충북,영동군,학산면,학산리
용산,비금속,충북,영동군,학산면,황산리
청양,금속,충북,영동군,황간면,광평리
추풍령,비금속,충북,영동군,황간면,광평리
삼풍산업,비금속,충북,영동군,황간면,금계리
난곡,금속,충북,영동군,황간면,난곡리
봉대,금속,충북,영동군,황간면,난곡리
융창,금속,충북,영동군,황간면,난곡리
삼원,금속,충북,영동군,황간면,서송원리
인황,비금속,충북,영동군,황간면,신흥리
월류,금속,충북,영동군,황간면,원촌리
만국,비금속,충북,옥천군,군북면,국원리
만국대리석,비금속,충북,옥천군,군북면,국원리
옥천규석,비금속,충북,옥천군,군북면,국원리
이전,금속,충북,옥천군,군북면,대정리
옥천,비금속,충북,옥천군,군북면,증약리
군북규석,비금속,충북,옥천군,군북면,항곡리
동국,금속,충북,옥천군,군서면,금산리
용전,비금속,충북,옥천군,군서면,오동리
하동,비금속,충북,옥천군,군서면,하동리
경원,금속,충북,옥천군,동이면,청마리
안성,비금속,충북,옥천군,안남면,종미리
대한,비금속,충북,옥천군,안남면,화학리
부국,비금속,충북,옥천군,안남면,화학리
가산,비금속,충북,옥천군,안내면,답양리
(가)도율리,석탄,충북,옥천군,안내면,도율리
금적산,금속,충북,옥천군,안내면,오덕리
(가)인포리,석탄,충북,옥천군,안내면,인포리
용암,금속,충북,옥천군,옥천읍,삼청리
(가)옥각리,비금속,충북,옥천군,옥천읍,옥각리
옥천,비금속,충북,옥천군,옥천읍,장야리
구음,비금속,충북,옥천군,이원면,지탄리
삼화,비금속,충북,옥천군,청산면,교평리
월남(473청산형석),비금속,충북,옥천군,청산면,대성리
(가)근모,석탄,충북,옥천군,청산면,만월리
월명,비금속,충북,옥천군,청산면,명티리
청림,비금속,충북,옥천군,청산면,명티리
청산장석,비금속,충북,옥천군,청산면,인정리
청산,비금속,충북,옥천군,청산면,장위리
신장제2,비금속,충북,옥천군,청산면,판수리
거풍,금속,충북,옥천군,청성면,거포리
삼보,금속,충북,옥천군,청성면,거포리
홍우월신,석탄,충북,옥천군,청성면,거포리
65사금,금속,충북,옥천군,청성면,고당리
대부,석탄,충북,옥천군,청성면,구음리
태성,비금속,충북,옥천군,청성면,구음리
남성,금속,충북,옥천군,청성면,궁촌리
신매,비금속,충북,옥천군,청성면,소서리
홍신,금속,충북,옥천군,청성면,소서리
신장광업소,비금속,충북,옥천군,청성면,소서리
신장,비금속,충북,옥천군,청산면,신매리
도토리,비금속,충북,옥천군,청성면,장수리
만명,금속,충북,옥천군,청성면,장수리
지원,석탄,충북,옥천군,청성면,장수리
동광,금속,충북,옥천군,청성면,장연리
호명,석탄,충북,옥천군,청성면,장연리
화성,금속,충북,옥천군,청성면,화성리
소금산,금속,충북,음성군,감곡면,문촌리
건일,비금속,충북,음성군,감곡면,상평리
금광,비금속,충북,음성군,감곡면,오향리
금봉,금속,충북,음성군,금왕읍,봉곡리
금왕,금속,충북,음성군,금왕읍,봉곡리
유일광업,금속,충북,음성군,금왕읍,봉곡리
태극(대륙),금속,충북,음성군,금왕읍,삼봉리
삼성,비금속,강원,영월군,중동면,화원리
금왕,금속,충북,음성군,금왕읍,육령리
삼마,금속,충북,음성군,삼성면,대사리
(가)덕용,금속,충북,음성군,삼성면,대야리
(가)병암,금속,충북,음성군,생극면,병암리
(가)생극,금속,충북,음성군,생극면,병암리
소이,금속,충북,음성군,소이면,금고리
충주,비금속,충북,음성군,소이면,문등리
이윤(096불정),비금속,충북,음성군,소이면,문등리
용현,비금속,충북,음성군,소이면,봉전리
(가)비산리,금속,충북,음성군,소이면,비산리
(가)충도,금속,충북,음성군,소이면,충도리
영세,금속,충북,음성군,소이면,충도리
백암,비금속,충북,음성군,소이면,후미리
문암,금속,충북,음성군,원남면,문암리
(가)보룡리,금속,충북,음성군,원남면,보룡리
환희,금속,충북,음성군,원남면,덕정리
(가)조촌,금속,충북,음성군,원남면,조촌리
음성,금속,충북,음성군,음성읍,신천리
일산,금속,충북,음성군,음성읍,삼생리
제천,비금속,충북,제천시,고명동,
(가)병하,비금속,충북,제천시,금성면,사곡리
(가)사곡2,비금속,충북,제천시,금성면,사곡리
금성철,금속,충북,제천시,금성면,성내리
(가)성내리1,비금속,충북,제천시,금성면,성내리
(가)성내리2,금속,충북,제천시,금성면,성내리
(가)성내리3,비금속,충북,제천시,금성면,성내리
동남,비금속,충북,제천시,금성면,양화리
(가)양화리1,비금속,충북,제천시,금성면,양화리
(가)양화리2,비금속,충북,제천시,금성면,양화리
금성,비금속,충북,제천시,금성면,월굴리
(가)석동골,금속,충북,제천시,금성면,월굴리
월굴,비금속,충북,제천시,금성면,월굴리
(가)월굴리,금속,충북,제천시,금성면,월굴리
장자,금속,충북,제천시,금성면,월굴리
적덕,금속,충북,제천시,금성면,월굴리
한일백토,비금속,충북,제천시,금성면,월굴리
당두,금속,충북,제천시,금성면,중전리
월림,비금속,충북,제천시,금성면,중전리
(가)중전리,금속,충북,제천시,금성면,중전리
(가)금풍,금속,충북,제천시,금성면,포전리
(가)동흥소재,비금속,충북,제천시,금성면,활산리
영광이레,비금속,충북,제천시,금성면,활산리
금성활석,비금속,충북,제천시,청풍면,황석리
덕산,금속,충북,제천시,수산면,대전리
대덕,금속,충북,제천시,덕산면,도기리
도기활석,비금속,충북,제천시,덕산면,도기리
삼지,석탄,충북,제천시,덕산면,도기리
일신수산활석,비금속,충북,제천시,덕산면,도기리
장풍,금속,충북,제천시,덕산면,도기리
제천삼당,금속,충북,제천시,덕산면,도기리
도전,비금속,충북,제천시,덕산면,도전리
(가)선고,금속,충북,제천시,덕산면,선고리
용하2,금속,충북,제천시,덕산면,선고리
성암형석,비금속,충북,제천시,덕산면,성암리
덕주,비금속,충북,제천시,덕산면,수산리
광영,비금속,충북,제천시,덕산면,신현리
(가)광천형석,비금속,충북,제천시,덕산면,월악리
용하1,금속,충북,제천시,덕산면,도기리
월악1,금속,충북,제천시,덕산면,월악리
월악2,금속,충북,제천시,덕산면,월악리
월악3,금속,충북,제천시,덕산면,수산리
장풍,비금속,충북,제천시,덕산면,월악리
구덕,금속,충북,제천시,백운면,덕동리
삼봉(536),금속,충북,제천시,백운면,덕동리
신림규석,비금속,충북,제천시,백운면,도곡리
공전규석(560공전),비금속,충북,제천시,백운면,모정리
남강,비금속,충북,제천시,백운면,모정리
(가)신행규석,비금속,충북,제천시,백운면,방학리
백운규석,비금속,충북,제천시,백운면,방학리
삼봉(537),금속,충북,제천시,백운면,화당리
삼봉(592),금속,충북,제천시,백운면,화당리
삼중,금속,충북,제천시,백운면,화당리
중도,비금속,충북,제천시,봉양읍,공전리
명암,비금속,충북,제천시,봉양읍,명암리
명진,비금속,충북,제천시,봉양읍,명암리
(가)충북규석2,비금속,충북,제천시,봉양읍,명암리
옥전규석,비금속,충북,제천시,봉양읍,옥전리
신림도로마이트,비금속,충북,제천시,봉양읍,옥전리
(가)옥전,비금속,충북,제천시,봉양읍,옥전리
대진,비금속,충북,제천시,봉양읍,장평리
승우,비금속,충북,제천시,봉양읍,장평리
충북규석,비금속,충북,제천시,백운면,평동리
학산규석,비금속,충북,제천시,봉양읍,학산리
(가)송실,금속,충북,제천시,송학면,무도리
동광석회(593삼영석회),비금속,충북,제천시,송학면,무도리
진성규석,비금속,충북,제천시,백운면,운학리
신선,비금속,충북,제천시,송학면,송한리
삼화석회,비금속,충북,제천시,송학면,송한리
송한리,비금속,충북,제천시,송학면,송한리
(가)한국첨단신소재(가행광),비금속,충북,제천시,송학면,송한리
(가)함박골광산,비금속,충북,제천시,송학면,송한리
포천,금속,충북,제천시,송학면,시곡리
(가)오미리광산,비금속,충북,제천시,송학면,오미리
(가)도화석회,비금속,충북,제천시,송학면,포전리
도화석회(642포전),비금속,충북,제천시,송학면,포전리
신림,비금속,충북,제천시,송학면,송한리
수중,금속,충북,제천시,수산면,계란리
고명,비금속,충북,제천시,수산면,고명리
백운석회석,비금속,충북,제천시,수산면,고명리
영흥,비금속,충북,제천시,수산면,괴곡리
(가)충북,금속,충북,제천시,수산면,괴곡리
한승-두항,비금속,충북,제천시,수산면,괴곡리
(가)구곡리,금속,충북,제천시,수산면,구곡리
(가)동아(석면),비금속,충북,제천시,수산면,구곡리
금능,금속,충북,제천시,청풍면,도화리
단제,금속,충북,제천시,수산면,능강리
(가)솟대,금속,충북,제천시,수산면,능강리
서양,비금속,충북,제천시,수산면,다불리
제2보원,비금속,충북,제천시,수산면,다불리
일신,금속,충북,제천시,수산면,대전리
(가)대유,비금속,충북,제천시,수산면,대전리
대천,비금속,충북,제천시,수산면,대전리
장자규회석,비금속,충북,제천시,수산면,대전리
미라,비금속,충북,제천시,수산면,도전리
대양,금속,충북,제천시,수산면,서곡리
계곡,비금속,충북,제천시,수산면,다불리
금성(수몰),비금속,충북,제천시,수산면,하천리
대왕활석(수몰),비금속,충북,제천시,수산면,다불리
(가)수곡,금속,충북,제천시,수산면,수곡리
영화규회석,비금속,충북,제천시,수산면,수곡리
태명,비금속,충북,제천시,수산면,수곡리
수산(적곡),금속,충북,제천시,수산면,적곡리
(가)두원산업,비금속,충북,제천시,수산면,오티리
복수,금속,충북,제천시,수산면,지곡리
(가)적곡리,금속,충북,제천시,수산면,적곡리
(가)신생중상이용사촌,비금속,충북,제천시,수산면,전곡리
천봉-앞실,비금속,충북,제천시,수산면,전곡리
(가)단제모리,금속,충북,제천시,수산면,하천리
동아,금속,충북,제천시,수산면,하천리
풍전활석(수몰),비금속,충북,제천시,수산면,하천리
(가)청풍호,금속,충북,제천시,청풍면,교리
(가)단돈리,금속,충북,제천시,청풍면,단돈리
원광,비금속,충북,제천시,청풍면,대류리
원광고령토,비금속,충북,제천시,청풍면,도곡리
(가)도화리,금속,충북,제천시,청풍면,도화리
(가)견옥,금속,충북,제천시,청풍면,물태리
대현,비금속,충북,제천시,청풍면,물태리
덕소,비금속,충북,제천시,청풍면,양평리
천덕활석,비금속,충북,제천시,청풍면,양평리
우석알엔씨,비금속,충북,제천시,청풍면,연론리
(가)용곡광산,석탄,충북,제천시,청풍면,용곡리
(가)국부,금속,충북,제천시,청풍면,읍리
광명,석탄,충북,제천시,청풍면,진목리
동아텅스텐,금속,충북,제천시,청풍면,학현리
제천철,금속,충북,제천시,청풍면,황석리
황석,금속,충북,제천시,청풍면,황석리
제천,금속,충북,제천시,청풍면,후산리
(가)송계2리,비금속,충북,제천시,한수면,송계리
(가)골뫼,금속,충북,제천시,한수면,송계리
(가)구레골,비금속,충북,제천시,한수면,송계리
왕자,비금속,충북,제천시,한수면,송계리
(가)동부,비금속,충북,제천시,한수면,송계리
송계,비금속,충북,제천시,한수면,송계리
동창,비금속,충북,제천시,한수면,탄지리
풍진,금속,충북,제천시,한수면,탄지리
삼곡,비금속,충북,제천시,대랑동,
제원,비금속,충북,제천시,두학동,
일신수산활석,비금속,충북,제천시,수산면,수리
갑산,비금속,충북,제천시,자작동,
세경물산단양석회,비금속,충북,제천시,자작동,
아진,비금속,충북,제천시,자작동,
노암,금속,충북,증평군,도안면,노암리
흥국삼보,금속,충북,청주시 청원구,북이면,선암리
정복,금속,충북,증평군,증평읍,덕상리
만화,금속,충북,증평군,증평읍,송산리
세풍,금속,충북,증평군,증평읍,연탄리
증평,금속,충북,증평군,증평읍,연탄리
불야,금속,충북,증평군,증평읍,용강리
영창,금속,충북,증평군,증평읍,용강리
부악,금속,충북,증평군,증평읍,율리
아정규석,비금속,충북,증평군,증평읍,율리
신일고령토,비금속,충북,진천군,덕산읍,신척리
문백,금속,충북,진천군,문백면,구곡리
옥산,금속,충북,진천군,문백면,평산리
성대리,금속,충북,진천군,백곡면,성대리
적재,금속,충북,진천군,백곡면,성대리
만승,금속,충북,진천군,이월면,사당리
고산(미등록금암),금속,충북,진천군,이월면,삼용리
장천형석,비금속,충북,진천군,진천읍,장관리
진성고령토,비금속,충북,진천군,이월면,삼용리
진천,비금속,충북,진천군,진천읍,가산리
금암,금속,충북,진천군,진천읍,금암리
금곡,금속,충북,충주시,대소원면,금곡리
청용,비금속,충북,청주시상당구,가덕면,행정리
청원규석,비금속,충북,청주시상당구,가덕면,행정리
(가)상정리,금속,충북,청주시흥덕구,오송읍,상정리
조치원,금속,충북,청주시흥덕구,오송읍,상정리
연제,금속,충북,청주시흥덕구,오송읍,연제리
청남,금속,충북,청주시서원구,남이면,사동리
복대,금속,충북,청주시서원구,남이면,석판리
청주,비금속,충북,청주시서원구,남이면,척산리
안심,금속,충북,청주시서원구,남이면,팔봉리
청영,금속,충북,청주시서원구,남이면,팔봉리
삼부,금속,충북,청주시상당구,남일면,황청리
청원,금속,충북,청주시상당구,낭성면,인경리
유성,비금속,충북,청주시상당구,낭성면,문박리
용산봉,비금속,충북,청주시상당구,낭성면,삼산리
청원,비금속,충북,청주시상당구,낭성면,삼산리
청원홍주석,비금속,충북,청주시상당구,낭성면,삼산리
청원,금속,충북,청주시상당구,낭성면,인경리
(가)백화금,금속,충북,청주시청원구,내수읍,국동리
산성,금속,충북,청주시청원구,내수읍,덕암리
세명사금,금속,충북,청주시청원구,내수읍,묵방리
부암,금속,충북,청주시청원구,내수읍,초정리
북일,비금속,충북,청주시청원구,내수읍,초정리
덕암,금속,충북,청주시청원구,내수읍,풍정리
대영,금속,충남,예산군,광시면,서초정리
태우,석탄,충북,청주시상당구,미원면,계원리
동양석회,비금속,충북,청주시상당구,미원면,구방리
개동,금속,충북,청주시상당구,미원면,금관리
종암,금속,충북,청주시상당구,미원면,종암리
충북석회,비금속,충북,청주시상당구,미원면,
금해,금속,충북,청주시상당구,미원면,화창리
천년,금속,세종,,부강면,갈산리
금호,금속,세종,,부강면,금호리
